"id","name","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second","total_votes","Con_p","Green_p","Lab_p","LibDem_p","Plaid_p","SNP_p","UKIP_p","under18","under40","over40","total_voters","p_older","houses_1996","houses_2013"
"W07000058","Aberconwy",12513,727,8514,1391,3536,0,3467,"Conservative","Labour",30148,41.5,2.4,28.2,4.6,11.7,0,11.5,10268,12996,33387,46383,0.719811137701313,46000,155000
"W07000059","Clwyd West",16463,0,9733,1387,4651,0,4988,"Conservative","Labour",37222,43.3,0,25.6,3.6,12.2,0,13.1,14565,16394,43583,59977,0.726661887056705,44000,136750
"W07000060","Vale of Clwyd",13760,0,13523,915,2486,0,4577,"Conservative","Labour",35261,39,0,38.4,2.6,7.1,0,13,15019,17838,38731,56569,0.684668281214093,42500,121000
"W07000061","Dwyfor Meirionnydd",6550,981,3904,1153,11811,0,3126,"Plaid Cymru","Conservative",27525,22.7,3.4,13.5,4,40.9,0,10.8,11335,13214,36423,49637,0.73378729576727,42000,145000
"W07000062","Clwyd South",10649,915,13051,1349,3620,0,5480,"Labour","Conservative",35064,30.4,2.6,37.2,3.8,10.3,0,15.6,15762,19577,37430,57007,0.656586033294157,44000,129995
"W07000063","Montgomeryshire",15204,1260,1900,9879,1745,0,3769,"Conservative","Liberal Democrat",33757,45,3.7,5.6,29.3,5.2,0,11.2,12704,14259,36726,50985,0.720329508679023,45000,150000
"W07000064","Ceredigion",4123,2088,3615,13414,10347,0,3829,"Liberal Democrat","Plaid Cymru",37416,11,5.6,9.7,35.9,27.7,0,10.2,12548,23851,39565,63416,0.62389617762079,49000,162000
"W07000065","Preseli Pembrokeshire",16383,1452,11414,780,2518,0,4257,"Conservative","Labour",36804,40.4,3.6,28.1,1.9,6.2,0,10.5,15857,18564,43062,61626,0.698763508908578,44000,140000
"W07000066","Carmarthen West & Pembrokeshire South",17626,1290,11572,963,4201,0,4698,"Conservative","Labour",40350,43.7,3.2,28.7,2.4,10.4,0,11.6,15037,18968,43379,62347,0.695767238199111,46750,158000
"W07000067","Carmarthen East & Dinefwr",8336,1091,9541,928,15140,0,4363,"Plaid Cymru","Labour",39399,21.2,2.8,24.2,2.4,38.4,0,11.1,13859,16030,41417,57447,0.720960189391961,42000,130000
"W07000068","Brecon & Radnorshire",16453,1261,5904,11351,1767,0,3338,"Conservative","Liberal Democrat",40074,41.1,3.1,14.7,28.3,4.4,0,8.3,12765,14588,41663,56251,0.740662388224209,50000,168000
"W07000069","Neath",5691,1185,16270,1173,6722,0,6094,"Labour","Plaid Cymru",37135,15.3,3.2,43.8,3.2,18.1,0,16.4,14579,19411,39705,59116,0.671645578185263,40000,102000
"W07000070","Cynon Valley",3676,799,14532,830,5126,0,4976,"Labour","Plaid Cymru",29939,12.1,2.6,47.7,2.7,16.8,0,16.3,15039,19628,34852,54480,0.639720998531571,32950,75000
"W07000071","Merthyr Tydfil & Rhymney",3292,603,17619,1351,3099,0,6106,"Labour","UKIP",32070,10.1,1.8,53.9,4.1,9.5,0,18.7,16068,21792,37529,59321,0.632642740344903,30950,82000
"W07000072","Blaenau Gwent",3419,738,18380,620,2849,0,5677,"Labour","UKIP",31683,10.8,2.3,58,2,9,0,17.9,14073,19827,35889,55716,0.644141718716347,29500,72000
"W07000073","Bridgend",12697,736,14624,1648,2784,0,5911,"Labour","Conservative",38400,32.2,1.9,37.1,4.2,7.1,0,15,16405,22261,42266,64527,0.655012630371782,48000,145000
"W07000074","Ogmore",5620,754,18663,1072,3556,0,5420,"Labour","Conservative",35085,15.9,2.1,52.9,3,10.1,0,15.4,16270,21228,38000,59228,0.641588437900993,40000,114500
"W07000075","Pontypridd",6969,992,15554,4904,4348,0,5085,"Labour","Conservative",37852,18.2,2.6,40.7,12.8,11.4,0,13.3,16808,24807,39402,64209,0.613652291734804,41450,122000
"W07000076","Caerphilly",6683,937,17864,935,5895,0,7791,"Labour","UKIP",40105,16.6,2.3,44.3,2.3,14.6,0,19.3,19517,24885,42872,67757,0.632731673480231,40500,125000
"W07000077","Islwyn",5366,659,17336,950,3794,0,6932,"Labour","UKIP",35037,15.2,1.9,49,2.7,10.7,0,19.6,15907,21116,38582,59698,0.646286307749003,37000,99999
"W07000078","Vale of Glamorgan",23607,1054,16727,1309,2869,0,5489,"Conservative","Labour",51055,46,2.1,32.6,2.6,5.6,0,10.7,21261,25904,51161,77065,0.663868163238824,51000,165000
"W07000079","Cardiff West",11014,1704,17803,2069,6096,0,4923,"Labour","Conservative",43609,25.2,3.9,40.7,4.7,13.9,0,11.2,21067,29110,41965,71075,0.5904326415758,50000,166000
"W07000080","Cardiff South & Penarth",12513,1746,19966,2318,3433,0,6423,"Labour","Conservative",46399,26.8,3.7,42.8,5,7.4,0,13.8,24972,38904,46173,85077,0.542720124122853,48000,147000
